"HMAC key","HMAC nøkkel"
"Regcode","Registreringskode"
"Enter your HMAC key. Can be found in DIBS Administration panel, under Integration -> HMAC keys.","Fyll inn din HMAC nøkkel, denne kan du finne i DIBS Administrasjonspanel under Integrasion -> HMAC nøkler."
"Informational text under the Dibs payment method option.","Meldingstekst som kunden ser når han eller hun velger betalingsalternativet Dibs."
"Info text","Utvidet infotekst"
"New order status","Ny ordre status"
"You will be redirected to Dibs in a few seconds.","Du vil bli videreført til DIBS betalingsvindu on noen sekunder."
"Billing details","Faktura-adresse"
"Shipping details","Leverings-adresse"
"Cart details","Handekurv detaljer"
"Select sorting order og payment method.","Ønsket sortering i Betalingsmetoder-feltet på utsjekkingssiden i nettbutikken. Aktuelt dersom du tilbyr flere betalingsalternativer og ønsker å plassere DIBS betalingsvalget i en angitt rekkefølge."
"Sort order","Sortering av betalingsmetode"
"Authorize Only","Bare godkjenn"
"Authorize + Capture","Godkjenn og motta betaling"
"Dibs Authorization successful","Dibs autorisasjon vellykket"
"Dibs Authorization Declined","Dibs autorisasjon mislyktes"
"Send new order email","Send ny ordre epost"
"Send email to customer on authorization approved.","Send epost til kunden ved autorisasjon av kort."
"New order status after authorization approved.","Ny status etter autorisasjon."
"Optional details","Valgfrie ordredetaljer"
"Send additional checkout details to Dibs.","Valgfrie ordredetaljer som skal sendes til DIBS betalingsvindu."
"Order item VAT type","Moms format på varelinje"
"Show VAT value in percent or amount.","Vis momsverdien som prosent eller verdi."
"Payment window language","Språk på betalingsvindu"
"Test mode","Testmodus"
"Debug mode","Feilsøkingsmodus"
"Capture request failed, try again or contact site administation","Trekk ble ikke fullført, prøv igjen eller kontakt side administrator"
"Order needs payment review","Ordren trenger manuell godkjenning"
"Payment is cancelled. Please try again.","Betalingen ble ikke gjennomført, vennligst prøv igjen"
"Could not find transaction id.","Trekk ble ikke gjennomført, pga. manglende (DIBS) transaksjons ID"
"Payment capturing was delined, try again or capture offline and manually run capture in DIBS Admin panel","Trekk ble avvist av DIBS, prøv igjen eller trekk 'offline' og behandle transaksjonen manuelt i DIBS Adminpanel"
"Error capturing payment, try again or capture offline and manually run capture in DIBS Admin panel","Trekk feilet hos DIBS, prøv igjen eller trekk 'offline' og behandle transaksjonen manuelt i DIBS Adminpanel"
"Refund was declined by DIBS. Use DIBS Admin panel to manually refund this transaction","Kreditering ble avvist av DIBS, prøv igjen eller behandle transaksjonen manuelt i DIBS Adminpanel"
"Unable to refund DIBS transaction. Use DIBS Admin panel to manually refund this transaction","Kreditering feilet hos DIBS, prøv igjen eller behandle transaksjonen manuelt i DIBS Adminpanel"
"Unable to cancel DIBS transaction. Use DIBS Admin panel to manually cancel this transaction","Kansellering feilet hos DIBS, prøv igjen eller behandle transaksjonen manuelt i DIBS Adminpanel"
"Billing details","Fakturaadressedetaljer"
"Shipping details","Leveringsadressedetaljer"
"Cart details","Varelinjedetaljer"
"Payment failed, please try again.","Betalingen feilet, vennligst prøv igjen"
"%s hour","%s timer"
"Cancel 'pending' orders after","Avbryt 'Pending Dibs' ordre"
"Pending orders can be automatically canceled after a pre-defined timeout.","Ordre med status 'Pending Dibs' vil bli kansellert etter denne pre-definerte tiden."
"Get a free serial key from %s.","Få en gratis produktnøkkel fra %s."
"Serial","Produktnøkkel"
